"","x"
"E03. During the past 12 months, have you personally experienced bullying or harassment at work?",1
"EAST RIDING OF YORKSHIRE",1
"EASTERLY CLOSE",1
"Easting",1
"Echo",1
"Economic category",1
"ECPAssetRating",1
"ECPAssetRatingValue",1
"ECPCertificateRef",1
"ECPIssueDate",1
"ECPPropertyRef",1
"ECROYD PARK",1
"EDUC_AREA",1
"EDUCATION SKILLS AND TRAINING SCORE",1
"EDUCATION_AREA",1
"Elective",1
"Employee engagement index",1
"Employment Growth (2003-2007)",1
"EMPLOYMENT SCORE",1
"End Date",1
"End NGR(s)",1
"Enitity",1
"Enity",1
"ePIMS Holding id",1
"EQ-5D score - Number of patients answering question",1
"EQ-5D score - Observed mean EQ-5D score",1
"ERG Ref",1
"ëScheduledí",1
"Estimated linear metres",1
"Estimated number of items",1
"Exp Type",1
"Expected Planning Use",1
"Expediture",1
"Expence Type",1
"Expenditure Code",1
"Expenditure Description",1
"Expenditurte Type",1
"Expeniture",1
"Expense Area - csv version",1
"Expense Area (c/c)",1
"Expense Area Published",1
"Expense Description published for admin spend above £25,000 only",1
"Expense Type - use on csv version",1
"Expense Type (a/c)",1
"Expense Type Description",1
"Expense Type Published",1
"Expense Types",1
"Expenses",1
"Expenses £",1
"Expenses paid in month of Aug 2011 (£)",1
"Expenses paid in month of December 2010 (£)",1
"Expenses paid in month of July 2011 (£)",1
"Expenses paid in month of June 2011 (£)",1
"Expenses paid in month of May 2011 (£)",1
"Expenses paid in month of November 2010 (£)",1
"Expenses paid in month of Oct 2011 (£)",1
"Expenses paid in month of October 2010 (£)",1
"Expenses paid in month of Sept 2011 (£)",1
"EXTRA_TELEPHONE",1
"Extracardiac arteriopathy",1
"F has errors?",1
"Facet 1",1
"Facet 2",1
"Fail",1
"family(T);Entity(T);Pay",1
"Fare Paid",1
"Feb-11",1
"Feb-12",1
"Feb-14",1
"February 2011 MTH",1
"Female",1
"FID",1
"Field Name",1
"Financial Year",1
"Fish stocks around the UK fished within safe biological limits",1
"FLAT 2",1
"FLAT 3",1
"Flights",1
"floor area",1
"Floor_Type_Description",1
"Folder Title",1
"Forename",1
"Forename(s)",1
"Foundation",1
"Framework",1
"Fraud and forgery December 2012 ",1
"Fraud and forgery December 2012 MSG Average",1
"Fraud and forgery December 2012 MSG Average Lower Bound",1
"Fraud and forgery December 2012 MSG Average Upper Bound",1
"Fraud and forgery per 1000 population 12 months to December 2009",1
"Fraud and forgery per 1000 population 12 months to December 2010",1
"Fraud and forgery per 1000 population 12 months to December 2011",1
"Fraud and forgery per 1000 population 12 months to December 2012",1
"Fraud and forgery per 1000 population 12 months to September 2009",1
"Fraud and forgery per 1000 population 12 months to September 2010",1
"Fraud and forgery per 1000 population 12 months to September 2011",1
"Fraud and forgery per 1000 population 12 months to September 2012",1
"Fraud and forgery September 2012 ",1
"Fraud and forgery September 2012 MSG Average",1
"Fraud and forgery September 2012 MSG Average Lower Bound",1
"Fraud and forgery September 2012 MSG Average Upper Bound",1
"FTE at year start",1
"FTE of Minimum Contracted Hours",1
"FTE per 1,000 population_As at 31/03/2010_Contract Staff",1
"FTE per 1,000 population_As at 31/03/2010_PCSOs",1
"FTE per 1,000 population_As at 31/03/2010_Police Officers",1
"FTE per 1,000 population_As at 31/03/2010_Police Staff",1
"FTE per 1,000 population_As at 31/03/2010_Special Constables",1
"FTE per 1,000 population_As at 31/03/2010_Total",1
"FTE per 1,000 population_As at 31/03/2010_Traffic Wardens",1
"FTEs",1
"Fuel_and_exhaust",1
"Full Time Equivalent",1
"Function",1
"FY 2005",1
"FY 2006",1
"FY 2007",1
"FY 2008",1
"FY 2009",1
"FY 2010",1
"FY 2011",1
"FY 2012",1
"FY 2013",1
"FY8 3XD",1
"FYLDE",1
"G has errors?",1
"GBP Amount",1
"general_notes",1
"Geographical Barriers Sub-domain Rank (where 1 is most deprived)",1
"Geographical Barriers Sub-domain Score",1
"Geography Of Beneficiaries",1
"GL Year_Period",1
"GOATACRE",1
"GOATACRE LANE",1
"Good",1
"Good accuracy",1
"Good design",1
"Good ease of finding",1
"Good ease of use",1
"Good editorial",1
"Good search",1
"Good,excellent",1
"Goods Received Date",1
"GOR CODE",1
"GOR NAME",1
"Got everything I wanted",1
"Got most of what I wanted",1
"Got none of what I wanted",1
"Got some of what I wanted",1
"GOVERNANCE_DESC",1
"GP, A&E",1
"GPE contributions in period",1
"Grade (FTE)",1
"Grade (Headcount) AA/AO",1
"Grade (Headcount) EO",1
"Grade (Headcount) Grade6/7",1
"Grade (Headcount) HEO/SEO",1
"Grade 6",1
"Grade 7",1
"Grade A",1
"Grade B1",1
"Grade B2",1
"Grade C",1
"Grade Equivalent",1
"Grade TIS2",1
"Grade TIS3",1
"Grand Total paybill/staffing (payroll and non-payroll) costs (ú)",1
"Grant Award",1
"GREENHAM WOOD",1
"GREENWAYS",1
"GREVILLE ROAD",1
"Grid Ref",1
"GridRef",1
"Group (as listed on organanogram)",1
"group support sessions(s),was not offered additional support",1
"H has errors?",1
"Have you had pains other than minor pains? - Blank",1
"Have you had pains other than minor pains? - N",1
"Have you had pains other than minor pains? - Other",1
"Have you had pains other than minor pains? - Y",1
"Have you had to reduce paid working hours due to pain? - Blank",1
"Have you had to reduce paid working hours due to pain? - N",1
"Have you had to reduce paid working hours due to pain? - No - not appl",1
"Have you had to reduce paid working hours due to pain? - not appl",1
"Have you had to reduce paid working hours due to pain? - Other",1
"Have you had to reduce paid working hours due to pain? - Y",1
"Have you had to reduce paid working hours due to pain? - Yes - not appl",1
"HAVERING",1
"Head Teacher",1
"Headcount 24-29",1
"Headcount 65 +",1
"Headcount of 16-19",1
"Headcount of 20-24",1
"Headcount of 25-29",1
"Headcount of 30-34",1
"Headcount of 35-39",1
"Headcount of 40-44",1
"Headcount of 45-49",1
"Headcount of 50-54",1
"Headcount of 55-59",1
"Headcount of 60-64",1
"Headcount of 65+",1
"Headcount of Agnostic",1
"Headcount of Atheist",1
"Headcount of Bahai",1
"Headcount of Bisexual Female",1
"Headcount of Bisexual Male",1
"Headcount of Bisexual Man",1
"Headcount of Bisexual Woman",1
"Headcount of BME Staff",1
"Headcount of Buddhist",1
"Headcount of Christian",1
"Headcount of Gay Woman / Lesbian",1
"Headcount of Gay Women",1
"Headcount of Heterosexual (Straight) Man",1
"Headcount of Heterosexual (Straight) Woman",1
"Headcount of Heterosexual Female",1
"Headcount of Heterosexual Males",1
"Headcount of Hindu",1
"Headcount of Jewish",1
"Headcount of Muslim",1
"Headcount of No Reply",1
"Headcount of Non-Disabled",1
"Headcount of Other",1
"Headcount of Pagan",1
"Headcount of Sikh",1
"Headcount of Staff with Disability Status Declared as Disabled",1
"Headcount of Staff with Disability Status Declared as Not Disabled",1
"Headcount of White Staff",1
"Headcount that Prefer Not to Say",1
"Headline",1
"Headteacher",1
"HEALTH DEPRIVATION AND DISABILITY SCORE",1
"Heart failure records",1
"HEO",1
"HEREFORD",1
"HEREFORD AND WORCESTER",1
"Heterosexual (Straight) Headcount",1
"Heterosexual (Straight) Percentage",1
"Hold Release Date",1
"Holding id",1
"Holding Ref",1
"HOME OFFICE ,,,",1
"Homicide",1
"Homicide  per 1000 population 12 months to March 2010",1
"Homicide  per 1000 population 12 months to March 2011",1
"Homicide  per 1000 population 12 months to March 2012",1
"Homicide  sanction detection rate 12months to March 2010",1
"Homicide  sanction detection rate 12months to March 2011",1
"Homicide  sanction detection rate 12months to March 2012",1
"Homicide  SD Cautions 12months to March 2010",1
"Homicide  SD Cautions 12months to March 2011",1
"Homicide  SD Cautions 12months to March 2012",1
"Homicide  SD Charge Summons 12months to March 2010",1
"Homicide  SD Charge Summons 12months to March 2011",1
"Homicide  SD Charge Summons 12months to March 2012",1
"Homicide  SD Fixed Penalties 12months to March 2010",1
"Homicide  SD Fixed Penalties 12months to March 2011",1
"Homicide  SD Fixed Penalties 12months to March 2012",1
"Homicide  SD TICs 12months to March 2010",1
"Homicide  SD TICs 12months to March 2011",1
"Homicide  SD TICs 12months to March 2012",1
"Homicide per 1000 population 12 months to March 2013",1
"Homicide sanction detection rate 12months to March 2013",1
"Homicide SD Cautions 12months to March 2013",1
"Homicide SD Charge Summons 12months to March 2013",1
"Homicide SD Fixed Penalties 12months to March 2013",1
"Homicide SD TICs 12months to March 2013",1
"Honour",1
"Hospital consultant",1
"Hosting and infrastructure costs",1
"Hour",1
"How did you find out about NHS pain service? Blank",1
"How did you find out about NHS pain service? GP",1
"How did you find out about NHS pain service? Internet",1
"How did you find out about NHS pain service? Other",1
"How did you find out about NHS pain service? PCT",1
"HR4 7EN",1
"I has errors?",1
"IATI Identifer",1
"ICT Category",1
"IDACI score",1
"IDAOPI score",1
"Identification date",1
"If yes, medical treatment received last 6 months - Blank",1
"If yes, medical treatment received last 6 months - N",1
"If yes, medical treatment received last 6 months - No - not appl",1
"If yes, medical treatment received last 6 months - Y",1
"If yes, medical treatment received last 6 months - Yes, No",1
"If yes, visits included: A&E",1
"If yes, visits included: A&E, other",1
"If yes, visits included: Blank",1
"If yes, visits included: GP",1
"If yes, visits included: GP, A&E",1
"If yes, visits included: GP, A&E, other",1
"If yes, visits included: GP, otherXX",1
"If yes, visits included: Other",1
"If yes, visits included: word of mouth",1
"If you are in voluntary work have you had to reduce your hours - Blank",1
"If you are in voluntary work have you had to reduce your hours - N",1
"If you are in voluntary work have you had to reduce your hours - not appl",1
"If you are in voluntary work have you had to reduce your hours - Y",1
"If you are in voluntary work have you had to reduce your hours - Yes - not appl",1
"If you are in voluntary work have you had to reduce your hours d - No - not appl",1
"If you are in voluntary work have you had to reduce your hours d - Other",1
"ILMINSTER",1
"IMD SCORE",1
"Inclusion and fair treatment theme score (B26-B29 average)",1
"INCOME SCORE",1
"Index",1
"Index_SA",1
"Index_SA_SM",1
"Indicator set",1
"Indoors Sub-domain Rank (where 1 is most deprived)",1
"Indoors Sub-domain Score",1
"Information for SCS on non-standard contracts",1
"Initials",1
"Input from consultant cardiologist (%)",1
"Input from specialist (%)",1
"INSPECTOR",1
"inspire notation",1
"Interest",1
"Investigation staff FTE per 1,000 population_As at 31/03/2010_Asset confiscation",1
"Investigation staff FTE per 1,000 population_As at 31/03/2010_Burglary",1
"Investigation staff FTE per 1,000 population_As at 31/03/2010_Child/sex/ domestic",1
"Investigation staff FTE per 1,000 population_As at 31/03/2010_CID (includes special crime unit) ",1
"Investigation staff FTE per 1,000 population_As at 31/03/2010_Drugs",1
"Investigation staff FTE per 1,000 population_As at 31/03/2010_Fraud",1
"Investigation staff FTE per 1,000 population_As at 31/03/2010_Hate crime",1
"Investigation staff FTE per 1,000 population_As at 31/03/2010_HOLMES unit",1
"Investigation staff FTE per 1,000 population_As at 31/03/2010_Total",1
"Investigation staff FTE per 1,000 population_As at 31/03/2010_Vehicle crime",1
"Investigation staff FTE per 1,000 population_As at 31/03/2010_Vice",1
"Investment date (cash draw down)",1
"Investment date (commitment for
investment/ facility/ guarantee)",1
"Invoice contains Multiple Cost Centre Distribution?",1
"invoice number - delete",1
"Invoice Received Date",1
"Invoice Type",1
"IRAQ POLLING WAVE 9 - NOVEMBER 2006",1
"is defined by",1
"is defined by > uri",1
"Is this your first attendance at the pain facility? - N",1
"Is this your first attendance at the pain facility? - Other",1
"Is this your first attendance at the pain facility? - Y",1
"Is this your first attendance at the pain facility? Blank",1
"Isolated CABG",1
"Item Description",1
"Item;Text",1
"Items_not_tested",1
"J has errors?",1
"JAKARTA: New Embassy ",1
"Jan-11",1
"Jan-12",1
"Jan-14",1
"January 2009 - December 2009",1
"January 2011",1
"January 2011 MTH",1
"January 2012 - December 2012",1
"January 2012 to December 2012: cost per transaction (¬£)",1
"January 2012 to December 2012: digital volume",1
"January 2012 to December 2012: volume",1
"January 2013",1
"Job Role Code",1
"Job vacancy descriptions",1
"Job/ Team Function",1
"Joint analytical work result %",1
"Joint analytical work score",1
"Joint analytical work target %",1
"Joint missions result %",1
"Joint missions score",1
"Joint missions target %",1
"JSA Claimant Count Rate June 2008",1
"JSA Claimant Count Rate June 2009",1
"JSA Claimants June 2008",1
"JSA Claimants June 2009",1
"Jul-11",1
"July 2009 - June 2010",1
"July 2010 MTH",1
"July 2012 - June 2013",1
"July 2012 to June 2013: cost per transaction (¬£)",1
"July 2012 to June 2013: digital volume",1
"July 2012 to June 2013: volume",1
"Jun-08",1
"Jun-09",1
"Jun-10",1
"June 2010 MTH",1
"K has errors?",1
"Key",1
"L has errors?",1
"label",1
"LAid",1
"LANCASHIRE",1
"LandRegistry_Title",1
"LAST UPDATED
SDE/CAPS/MapExplorer",1
"Lat/long",1
"Latest cost per transaction (¬£)",1
"Latest digital volume",1
"Latest volume",1
"LATTIUDE",1
"Launch Date",1
"Leadership and managing change theme score (B40-B49 average)",1
"Learning and development theme score (B22-B25 average)",1
"Learning_Aim_Reference",1
"Learning_Aim_Title",1
"LEAVE_AGE",1
"LGIL",1
"LGSL",1
"Lighting_and_signalling",1
"LINDEN MEWS",1
"Link to DGU record if not DGU record then external link",1
"Link to example of published data",1
"Link to return",1
"Linkability (%) 2011",1
"Linkability (%) 2012",1
"Listed_Building_Description",1
"LIVING ENVIRONMENT SCORE",1
"Location Of Investee",1
"Location_Type",1
"Logical Name",1
"Lower age",1
"LPG",1
"LSOA CODE",1
"LV dysfunction (moderate)",1
"LV dysfunction (poor)",1
"LVSD referral to HF liaison service (%)",1
"LYTHAM ST. ANNES",1
"M has errors?",1
"Main/parent/sponsoring department",1
"MainsGreenTariff",1
"Mainsstandardgrid",1
"Manager",1
"Manual testing accessibility",1
"Manufacturer Ref",1
"Map Ref",1
"Mar-09",1
"Mar-10",1
"Mar-12",1
"Mar-14",1
"March 2011 MTH",1
"Matched?",1
"max walking ability",1
"May 2010 MTH",1
"May-11",1
"MCC Description",1
"Meal
Deductions",1
"Median number of days between referral and operation",1
"Median number of days between symptom and operation",1
"Median number of days between symptom and referral",1
"merch_name",1
"Merchan Category ",1
"Metadata",1
"Method",1
"Mileage",1
"Mileage £",1
"Miscellaneous crimes against society per 1000 population 12 months to March 2010",1
"Miscellaneous crimes against society per 1000 population 12 months to March 2011",1
"Miscellaneous crimes against society per 1000 population 12 months to March 2012",1
"Miscellaneous crimes against society per 1000 population 12 months to March 2013",1
"Miscellaneous crimes against society sanction detection rate 12months to March 2010",1
"Miscellaneous crimes against society sanction detection rate 12months to March 2011",1
"Miscellaneous crimes against society sanction detection rate 12months to March 2012",1
"Miscellaneous crimes against society sanction detection rate 12months to March 2013",1
"Miscellaneous crimes against society SD Cautions 12months to March 2010",1
"Miscellaneous crimes against society SD Cautions 12months to March 2011",1
"Miscellaneous crimes against society SD Cautions 12months to March 2012",1
"Miscellaneous crimes against society SD Cautions 12months to March 2013",1
"Miscellaneous crimes against society SD Charge Summons 12months to March 2010",1
"Miscellaneous crimes against society SD Charge Summons 12months to March 2011",1
"Miscellaneous crimes against society SD Charge Summons 12months to March 2012",1
"Miscellaneous crimes against society SD Charge Summons 12months to March 2013",1
"Miscellaneous crimes against society SD Fixed Penalties 12months to March 2010",1
"Miscellaneous crimes against society SD Fixed Penalties 12months to March 2011",1
"Miscellaneous crimes against society SD Fixed Penalties 12months to March 2012",1
"Miscellaneous crimes against society SD Fixed Penalties 12months to March 2013",1
"Miscellaneous crimes against society SD TICs 12months to March 2010",1
"Miscellaneous crimes against society SD TICs 12months to March 2011",1
"Miscellaneous crimes against society SD TICs 12months to March 2012",1
"Miscellaneous crimes against society SD TICs 12months to March 2013",1
"Miscellaneous crimes agsinst socirty March 2013 ",1
"Miscellaneous crimes agsinst socirty March 2013 MSG Average",1
"Miscellaneous crimes agsinst socirty March 2013 MSG Average Lower Bound",1
"Miscellaneous crimes agsinst socirty March 2013 MSG Average Upper Bound",1
"Missing",1
"Mitral valve",1
"Mobile",1
"MOD Ref No",1
"MonthlyChange",1
"MORPETH",1
"Motor_tricycles_and_quadricycles",1
"Multilateral Channel ",1
"My line manager theme score (B09-B18 average)",1
"My team theme score (B19-B21 average)",1
"My work theme score (B01-B05 average)",1
"N cases with symptom to referral times",1
"N has errors?",1
"N of cases for HES comparison",1
"N of Cases in HES in R4",1
"N of Cases in R4",1
"N of symptomatic cases",1
"N of symptomatic cases with amaurosis fugax, TIA or stroke",1
"N with referral to operation times",1
"N with refferal to operation within 14 days",1
"N with refferal to operation within 2 days",1
"N with refferal to operation within 7 days",1
"N with symptom to operation within 14 days",1
"N with symptom to operation within 2 days",1
"N with symptom to referral within 14 days",1
"N with symptom to referral within 2 days",1
"N with symptom to referral within 7 days",1
"N with symptom-to-operation times",1
"NAC",1
"Name of Newspaper editor or Media Senior Executive",1
"Name of record series",1
"Name of service",1
"Name of the spatial data service",1
"Names of The Deceased",1
"Nation",1
"Natural Gas",1
"NatureOfDocument",1
"NE61 2BH",1
"Neither good nor poor accuracy",1
"Neither good nor poor design",1
"Neither good nor poor ease of use",1
"Neither good nor poor editorial",1
"Neither good nor poor search",1
"Neither good not poor ease of finding",1
"Neither satisfied nor dissatisfied",1
"Neonatal Network",1
"Net Amount £",1
"Net Present Value (?)",1
"Neurological dysfunction",1
"New",1
"New Waterways Charity",1
"NICOR hospital code",1
"No Information Headcount",1
"No of Passengers",1
"No of posts",1
"No prior GP visits - Adjusted % ",1
"No prior GP visits - Number of patients answering question",1
"No prior GP visits - Observed % ",1
"No prior treatment - Adjusted %",1
"No prior treatment - Number of patients answering question",1
"No prior treatment - Observed % ",1
"no_of_floors",1
"No. of Consultants 2011",1
"No. of Consultants 2012",1
"No. of Days Paid Late (Based on 5 working day payment directive)",1
"No. of Days Paid Late (Based on Supplier Terms)",1
"No. of working days to make payment",1
"Non recycled waste per FTE (tonnes)",1
"Non Taxable
Subsistence",1
"Non-domestic burglary per 1000 population 12 months to December 2009",1
"Non-domestic burglary per 1000 population 12 months to December 2010",1
"Non-domestic burglary per 1000 population 12 months to December 2011",1
"Non-domestic burglary per 1000 population 12 months to December 2012",1
"Non-domestic burglary per 1000 population 12 months to September 2009",1
"Non-domestic burglary per 1000 population 12 months to September 2010",1
"Non-domestic burglary per 1000 population 12 months to September 2011",1
"Non-domestic burglary per 1000 population 12 months to September 2012",1
"Non-Payroll staff (contingent labour/consultancy - CCL) costs (ú)",1
"Non-standardised pre & post differences - BPI int",1
"Non-standardised pre & post differences - BPI sev",1
"Non-standardised pre & post differences - EuroQol 5D ",1
"NoofWorkstations",1
"NORTH NORFOLK",1
"NORTH WILTSHIRE",1
"Northing",1
"NORTHUMBERLAND",1
"NORWICH",1
"Not sure recommend",1
"Not used search",1
"Notes on costs",1
"Nov-10",1
"Nov-11",1
"November 2010 MTH",1
"NR27 9DP",1
"NR35 2SF",1
"NR4 6HF",1
"Number of
Bicycle Miles",1
"Number of
Vehicle Miles",1
"Number of boxes",1
"Number of deaths",1
"Number of Defendants",1
"Number of procedures",1
"Number of Procedures 2011",1
"Number of Procedures 2012",1
"Nursery",1
"NW6 5HU",1
"Ôªø   Department Family",1
"ÔªøCrime_Type",1
"Objective",1
"occupation_id",1
"OccupiedNIA",1
"Oct-10",1
"Oct-11",1
"October 2009 - September 2010",1
"October 2010 MTH",1
"October 2012 - September 2013",1
"of",1
"Offences against the person",1
"Officebasedstaffandcontractors",1
"OGC Master Category",1
"Oil",1
"ONS Body Code",1
"Operating",1
"Operational Support staff FTE per 100 workforce_As at 31/03/2010_ACPO and directors",1
"Operational Support staff FTE per 100 workforce_As at 31/03/2010_Coroner's officer",1
"Operational Support staff FTE per 100 workforce_As at 31/03/2010_Crime & incident management",1
"Operational Support staff FTE per 100 workforce_As at 31/03/2010_Criminal records office",1
"Operational Support staff FTE per 100 workforce_As at 31/03/2010_Departmental heads",1
"Operational Support staff FTE per 100 workforce_As at 31/03/2010_Drivers",1
"Operational Support staff FTE per 100 workforce_As at 31/03/2010_Local commanders",1
"Operational Support staff FTE per 100 workforce_As at 31/03/2010_Operational planning",1
"Operational Support staff FTE per 100 workforce_As at 31/03/2010_Property",1
"Operational Support staff FTE per 100 workforce_As at 31/03/2010_Staff officers",1
"Operational Support staff FTE per 100 workforce_As at 31/03/2010_Total",1
"Operational Support staff FTE per 100 workforce_As at 31/03/2010_Total senior management",1
"Operational Support staff FTE per 100 workforce_As at 31/03/2010_Vehicle workshop/ fleet",1
"Operator",1
"Operator_Address",1
"Operator_Country",1
"Operator_Legal_Form",1
"Operator_Licence_Number",1
"Operator_Licence_Type",1
"Operator_Name",1
"Operator_Post_Code",1
"Operator_Town",1
"Operator_Vehicles_Authorised",1
"OperatorURL",1
"Order",1
"Organisation|Merchant|MCC|Date",1
"Organisational objectives and purpose theme score (B06-B08 average)",1
"Organisational Unit",1
"OrganisationalUnit",1
"Organisations Involved",1
"Origin City",1
"Origin Country",1
"Original Format",1
"Original scheduled final full repayment/ redemption
date",1
"OrigZoneID",1
"Other
Expenses",1
"Other cardiac procedure",1
"Other crimes against society per 1000 population 12 months to March 2010",1
"Other crimes against society per 1000 population 12 months to March 2011",1
"Other crimes against society per 1000 population 12 months to March 2012",1
"Other crimes against society per 1000 population 12 months to March 2013",1
"Other crimes against society sanction detection rate 12months to March 2010",1
"Other crimes against society sanction detection rate 12months to March 2011",1
"Other crimes against society sanction detection rate 12months to March 2012",1
"Other crimes against society sanction detection rate 12months to March 2013",1
"Other crimes against society SD Cautions 12months to March 2010",1
"Other crimes against society SD Cautions 12months to March 2011",1
"Other crimes against society SD Cautions 12months to March 2012",1
"Other crimes against society SD Cautions 12months to March 2013",1
"Other crimes against society SD Charge Summons 12months to March 2010",1
"Other crimes against society SD Charge Summons 12months to March 2011",1
"Other crimes against society SD Charge Summons 12months to March 2012",1
"Other crimes against society SD Charge Summons 12months to March 2013",1
"Other crimes against society SD Fixed Penalties 12months to March 2010",1
"Other crimes against society SD Fixed Penalties 12months to March 2011",1
"Other crimes against society SD Fixed Penalties 12months to March 2012",1
"Other crimes against society SD Fixed Penalties 12months to March 2013",1
"Other crimes against society SD TICs 12months to March 2010",1
"Other crimes against society SD TICs 12months to March 2011",1
"Other crimes against society SD TICs 12months to March 2012",1
"Other crimes against society SD TICs 12months to March 2013",1
"Other non-victim based crime December 2012 ",1
"Other non-victim based crime December 2012 MSG Average",1
"Other non-victim based crime December 2012 MSG Average Lower Bound",1
"Other non-victim based crime December 2012 MSG Average Upper Bound",1
"Other non-victim based crime September 2012 ",1
"Other non-victim based crime September 2012 MSG Average",1
"Other non-victim based crime September 2012 MSG Average Lower Bound",1
"Other non-victim based crime September 2012 MSG Average Upper Bound",1
"Other non-victim based crimes per 1000 population 12 months to December 2009",1
"Other non-victim based crimes per 1000 population 12 months to December 2010",1
"Other non-victim based crimes per 1000 population 12 months to December 2011",1
"Other non-victim based crimes per 1000 population 12 months to December 2012",1
"Other non-victim based crimes per 1000 population 12 months to September 2009",1
"Other non-victim based crimes per 1000 population 12 months to September 2010",1
"Other non-victim based crimes per 1000 population 12 months to September 2011",1
"Other non-victim based crimes per 1000 population 12 months to September 2012",1
"Other notes",1
"Other sexual offences excluding rape per 1000 population 12 months to December 2009",1
"Other sexual offences excluding rape per 1000 population 12 months to December 2010",1
"Other sexual offences excluding rape per 1000 population 12 months to December 2011",1
"Other sexual offences excluding rape per 1000 population 12 months to December 2012",1
"Other sexual offences excluding rape per 1000 population 12 months to September 2009",1
"Other sexual offences excluding rape per 1000 population 12 months to September 2010",1
"Other sexual offences excluding rape per 1000 population 12 months to September 2011",1
"Other sexual offences excluding rape per 1000 population 12 months to September 2012",1
"Other sexual offences per 1000 population 12 months to March 2010",1
"Other sexual offences per 1000 population 12 months to March 2011",1
"Other sexual offences per 1000 population 12 months to March 2012",1
"Other sexual offences per 1000 population 12 months to March 2013",1
"Other sexual offences sanction detection rate 12months to March 2010",1
"Other sexual offences sanction detection rate 12months to March 2011",1
"Other sexual offences sanction detection rate 12months to March 2012",1
"Other sexual offences sanction detection rate 12months to March 2013",1
"Other sexual offences SD Cautions 12months to March 2010",1
"Other sexual offences SD Cautions 12months to March 2011",1
"Other sexual offences SD Cautions 12months to March 2012",1
"Other sexual offences SD Cautions 12months to March 2013",1
"Other sexual offences SD Charge Summons 12months to March 2010",1
"Other sexual offences SD Charge Summons 12months to March 2011",1
"Other sexual offences SD Charge Summons 12months to March 2012",1
"Other sexual offences SD Charge Summons 12months to March 2013",1
"Other sexual offences SD Fixed Penalties 12months to March 2010",1
"Other sexual offences SD Fixed Penalties 12months to March 2011",1
"Other sexual offences SD Fixed Penalties 12months to March 2012",1
"Other sexual offences SD Fixed Penalties 12months to March 2013",1
"Other sexual offences SD TICs 12months to March 2010",1
"Other sexual offences SD TICs 12months to March 2011",1
"Other sexual offences SD TICs 12months to March 2012",1
"Other sexual offences SD TICs 12months to March 2013",1
"Other stealing December 2012 ",1
"Other stealing December 2012 MSG Average",1
"Other stealing December 2012 MSG Average Lower Bound",1
"Other stealing December 2012 MSG Average Upper Bound",1
"Other stealing per 1000 population 12 months to December 2009",1
"Other stealing per 1000 population 12 months to December 2010",1
"Other stealing per 1000 population 12 months to December 2011",1
"Other stealing per 1000 population 12 months to December 2012",1
"Other stealing per 1000 population 12 months to September 2009",1
"Other stealing per 1000 population 12 months to September 2010",1
"Other stealing per 1000 population 12 months to September 2011",1
"Other stealing per 1000 population 12 months to September 2012",1
"Other stealing September 2012 ",1
"Other stealing September 2012 MSG Average",1
"Other stealing September 2012 MSG Average Lower Bound",1
"Other stealing September 2012 MSG Average Upper Bound",1
"Outdoors Sub-domain Rank (where 1 is most deprived)",1
"Outdoors Sub-domain Score",1
"Outliers - 
 Hip revision rate",1
"Outliers - 
 Hip revision rateÑ",1
"Outliers - Mortality - Hips",1
"Outliers - Mortality - Knees",1
"Outliers - MortalityÑ",1
"P has errors?",1
"Page requests Apr-10",1
"Page requests Aug-10",1
"Page requests Dec-10",1
"Page requests Feb-11",1
"Page requests Jan-11",1
"Page requests Jul-10",1
"Page requests Jun-10",1
"Page requests Mar-11",1
"Page requests May-10",1
"Page requests Nov-10",1
"Page requests Oct-10",1
"Page requests Sep-10",1
"Paid Late? (Based on 5 working day payment directive)",1
"Paid Late? (Based on Supplier Terms)",1
"Paid_fare",1
"Pain Mechanism - Mixed",1
"Pain Mechanism - Neuropathic",1
"Pain Mechanism - Nociceptive",1
"Pain Mechanism - NULL",1
"Pain Mechanism - Somatic",1
"Pain Mechanism - Visceral",1
"Parent Department/Sponsor Department",1
"Pass",1
"Passenger numbers",1
"Pay and benefits theme score (B37-B39 average)",1
"Pay band for disclosure",1
"Pay Band Max",1
"Pay Band Min",1
"Pay Maximum",1
"Pay Minimum",1
"Payment Frequency",1
"Payment Method",1
"Payment Reference Number",1
"Payment_Value",1
"Payroll staff costs (ú)",1
"PCI pmp",1
"Percentage 24-29",1
"Percentage 65+",1
"Percentage Male Patients 2011",1
"Percentage Male Patients 2012",1
"Percentage Non Disclosed",1
"Percentage of 10A Rated Acetabular Implant Hip Primary Procedures 2011",1
"Percentage of 10A Rated Acetabular Implant Hip Primary Procedures 2012",1
"Percentage of 10A Rated Femoral Implant Hip Primary Procedures 2011",1
"Percentage of 10A Rated Femoral Implant Hip Primary Procedures 2012",1
"Percentage of 16-19",1
"Percentage of 20-24",1
"Percentage of 30-34",1
"Percentage of 35-39",1
"Percentage of 40-44",1
"Percentage of 45-49",1
"Percentage of 50-54",1
"Percentage of 55-59",1
"Percentage of 60-64",1
"Percentage of 65+",1
"Percentage of Agnostic",1
"Percentage of Atheist",1
"Percentage of Bahai",1
"Percentage of bisexual female",1
"Percentage of bisexual male",1
"Percentage of bisexual man",1
"Percentage of bisexual woman",1
"Percentage of Buddhist",1
"Percentage of Christian",1
"Percentage of gay woman/lesbian",1
"Percentage of Gay Women",1
"Percentage of Heterosexual (Straight) Man",1
"Percentage of Heterosexual (Straight) Woman",1
