dataset,header
3574,D Valid?
3574,E Valid?
3574,F Valid?
3574,G Valid?
3574,H Valid?
3574,I Valid?
3574,J Valid?
3574,Row Blank?
3575,Post Unique Reference
3575,Name
3575,Grade (or equivalent)
3575,Job Title
3575,Job/Team Function
3575,Parent Department
3575,Organisation
3575,Unit
3575,Contact Phone
3575,Contact E-mail
3575,Reports to Senior Post
3575,Salary Cost of Reports (£)
3575,FTE
3575,Actual Pay Floor (£)
3575,Actual Pay Ceiling (£)
3575,Total Pay (£)
3575,Professional/Occupational Group
3575,Notes
3575,Valid?
3575,A has errors?
3575,B has errors?
3575,C has errors?
3575,D has errors?
3575,E has errors?
3575,F has errors?
3575,G has errors?
3575,H has errors?
3575,I has errors?
3575,J has errors?
3575,K has errors?
3575,L has errors?
3575,M has errors?
3575,N has errors?
3575,P has errors?
3575,Q has errors?
3575,Row has errors?
3575,Valid as number
3576,Name of Special Adviser
3576,Date of Hospitality
3576,Name of Organisation
3576,Type of hospitality received
3577,Name of Special Adviser
3577,Date of Hospitality
3577,Name of Organisation
3577,Type of hospitality received
3578,Adam Smith - Special Adviser 
3578,Date
3578,Name of External Organisation
3578,Purpose of meeting
3579,Special Adviser
3579,Date of Hospitality
3579,Name of Organisation
3579,Type of hospitality received
3580,Name of Special Adviser
3580,Date
3580,Name of External Organisation
3580,Purpose of meeting
3581,Special Adviser
3581,Date of Hospitality
3581,Name of Organisation
3581,Type of hospitality received
3582,Name of Special Adviser
3582,Date
3582,Name of External Organisation
3582,Purpose of meeting
3583,Special Adviser
3583,Date of Hospitality
3583,Name of Organisation
3583,Type of hospitality received
3584,Name of Special Adviser
3584,Date
3584,Name of External Organisation
3584,Purpose of meeting
3585,Special Adviser
3585,Date of Hospitality
3585,Name of Organisation
3585,Type of hospitality received
3586,Special Adviser
3586,Month of Meeting
3586,Name
3586,Purpose of meeting
3587,Special Adviser
3587,Date of Hospitality
3587,Name of Organisation
3587,Type of hospitality received
3588,Body
3588,Body Name
3588,Name
3588,Job Title
3588,Service Area
3588,FTE
3588,ActualAnnSal
3589,Body
3589,Body Name
3589,Name
3589,Job Title
3589,Service Area
3589,FTE
3589,ActualAnnSal
3590,Body
3590,Body Name
3590,Name
3590,Job Title
3590,Service Area
3590,FTE
3590,ActualAnnSal
3591,Body
3591,Body Name
3591,Name
3591,Job Title
3591,Service Area
3591,FTE
3591,ActualAnnSal
3592,Body
3592,Body Name
3592,Name
3592,Job Title
3592,Service Area
3592,FTE
3592,ActualAnnSal
3593,Body
3593,Body Name
3593,Name
3593,Job Title
3593,Service Area
3593,FTE hours
3593,FTE Salary
3594,Body
3594,Body Name
3594,Name
3594,Job Title
3594,Service Area
3594,FTE hours
3594,FTE Salary
3595,Department
3595,Organisation Name
3595,Project name
3595,Basis for expenditure approval
3595,Total Value requested (£M)
3595,Total Value Approved (£M)
3595,Date of approval
3596,Name
3596,Grade
3596,Title
3596,FTE
3596,Department
3596,Organisation
3596,Unit
3596,Actual pay floor
3596,Actual pay ceiling
3597,Post Unique Reference
3597,Name
3597,Grade
3597,Job Title
3597,Job/Team Function
3597,Parent Department
3597,Organisation
3597,Unit
3597,Contact Phone
3597,Contact E-mail
3597,Reports to Senior Post
3597,Salary Cost of Reports (£)
3597,FTE
3597,Actual Pay Floor (£)
3597,Actual Pay Ceiling (£)
3597,V16
3597,Profession
3597,Notes
3597,Valid?
3598,Parent Department
3598,Organisation
3598,Unit
3598,Reporting Senior Post
3598,Grade
3598,Payscale Minimum (£)
3598,Payscale Maximum (£)
3598,Generic Job Title
3598,Number of Posts in FTE
3598,Profession
3599,Post Unique Reference
3599,Name
3599,Grade
3599,Job Title
3599,Job/Team Function
3599,Parent Department
3599,Organisation
3599,Unit
3599,Contact Phone
3599,Contact E-mail
3599,Reports to Senior Post
3599,Salary Cost of Reports (£)
3599,FTE
3599,Actual Pay Floor (£)
3599,Actual Pay Ceiling (£)
3599,Total Pay (£)
3599,Professional/Occupational Group
3599,Notes
3599,Valid?
3600,Parent Department
3600,Organisation
3600,Unit
3600,Reporting Senior Post
3600,Grade
3600,Payscale Minimum (£)
3600,Payscale Maximum (£)
3600,Generic Job Title
3600,Number of Posts in FTE
3600,Professional/Occupational Group
3600,Valid?
3601,Customer
3601,Ticket Price ex VAT
3601,Number of Travellers
3601,Total Cost ex VAT
3601,Ticket Type
3601,Ticket Single or Return
3601,Travel Class
3601,Travel Date
3601,Miles Travelled
3601,Journey Start Point
3601,Journey Finish Point
3601,Air Carrier
3602,Department
3602,Project name
3602,Net Present Value (?)
3602,Basis for Exception
3602,Date
3603,Department
3603,Project name
3603, Value 
3603,Basis for Exception
3603,Date
3604,Department/organisation name
3604, AO/AA (Headcount)
3604, AO/AA (FTE)
3604,EO (Headcount)
3604,EO (FTE)
3604,HEO/SEO (Headcount)
3604,HEO/SEO (FTE)
3604, Grade 6/7 (Headcount)
3604, Grade 6/7 (FTE)
3604,SCS level (Headcount)
3604,SCS level (FTE)
3604,Unknown/Other (Headcount)
3604,Unknown/Other(FTE)
3604,Total exemptions (Headcount)
3604,Total exemptions (FTE)
3604,Date of Update
3605,Department
3605,Activity
3605, Value 
3605,Basis for Exception
3605,Date of Update
3606,Department
3606,Requirement description
3606, Value 
3606,Basis for Exception
3606,Date
3607,Department
3607,Moratorium
3607,Project name
3607,Total Value requested (£M)
3607,Total Value Approved (£M)
3607,Basis for Exception
3607,Date of Update
3608,Department
3608,Moratorium
3608,Project name
3608,Value (£)
3608,Basis for Exception
3608,Date of Update
3609,Department/organisation name
3609,Number of exemptions approved at grade:
3609,V3
3609,V4
3609,V5
3609,V6
3609,V7
3609,V8
3609,V9
3609,V10
3609,V11
3609,V12
3609,V13
3609,V14
3609,V15
3609,Date of Update
3610,ERG Ref
3610,Department
3610,Spending Control
3610,Activity
3610,Value (£)
3610,Basis for Exception
3610,Date of Update
3610,Notes
3611,Department
3611,Organisation Name
3611,Moratorium
3611,Basis for Exception
3611, Value 
3611,Approval month
3612,Department
3612,Organisation Name
3612,Basis for Exception
3612, Value requested (£m) 
3612, Value Approved (£m) 
3612,Approval month
3613,Department
3613,Organisation Name
3613,Property
3613,Basis for Exception
3613, Value 
3613,Approval month
3614,Department/organisation name
3614,Number of exemptions approved at grade:
3614,V3
3614,V4
3614,V5
3614,V6
3614,V7
3614,V8
3614,V9
3614,V10
3614,V11
3614,V12
3614,V13
3614,V14
3614,V15
3614,Date of Update
3615,Department
3615,Organisation Name
3615,Basis for Exception
3615, Value 
3615,Approval month
3616,Department
3616,Organisation Name
3616,Basis for Exception
3616, Value 
3616,Approval month
3616,Category
3617,Department
3617,Organisation Name
3617,Basis for Exception
3617, Value requested 
3617, Value Approved 
3617,Approval month
3618,Department
3618,Organisation Name
3618,Property
3618,Basis for Exception
3618, Value 
3618,Approval month
3619,Department/organisation name
3619,Number of exemptions approved at grade:
3619,V3
3619,V4
3619,V5
3619,V6
3619,V7
3619,V8
3619,V9
3619,V10
3619,V11
3619,V12
3619,V13
3619,V14
3619,V15
3619,Date of Update
3620,Department
3620,Organisation Name
3620,Basis for Exception
3620, Value 
3620,Approval month
3621,Department
3621,Organisation Name
3621,Basis for Exception
3621, Value 
3621,Approval month
3621,Category
3622,Department
3622,Organisation Name
3622,Basis for Exception
3622, Value requested 
3622, Value Approved 
3622,Approval month
3623,Department
3623,Organisation Name
3623,Property
3623,Basis for Exception
3623, Value 
3623,Approval month
3624,Department/organisation name
3624,AA/AO
3624,EO
3624,HEO/SEO
3624,G7/G6
3624,SCS
3624,UNKNOWN/OTHER
3624,TOTAL (FTE)
3624,V9
3624,V10
3624,V11
3624,V12
3624,V13
3624,Total exemptions (Headcount)
3624,Total exemptions (FTE)
3624,Date of Update
3625,Department
3625,Organisation Name
3625,Basis for Exception
3625,New Approval / Reapproval
3625, Value 
3625,Approval month
3625,Type
3626,Department
3626,Organisation Name
3626,Basis for Exception
3626, Value requested 
3626, Value Approved 
3626,Approval month
3627,Department
3627,Organisation Name
3627,Property
3627,Basis for Exception
3627, Value 
3627,Approval month
3628,Department/organisation name
3628,AA/AO
3628,EO
3628,HEO/SEO
3628,G7/G6
3628,SCS
3628,UNKNOWN/OTHER
3628,TOTAL (FTE)
3629,Department
3629,Organisation Name
3629,Basis for Exception
3629,New Approval / Reapproval
3629, Value 
3629,Approval month
3629,Type
3630,Department
3630,Organisation Name
3630,Project name
3630,Basis for expenditure approval
3630,Value (úM)
3630,Total Value requested (úM)
3630,Total Value Approved (úM)
3630,Basis for Exception
3630,Approval month
3630,Date of Update
3631,Department
3631,Organisation Name
3631,Property Name
3631,Basis for expenditure approval
3631,Value (£M)
3631,Total Value requested (£M)
3631,Total Value Approved (£M)
3631,Basis for Exception
3631,Approval month
3631,Date of Update
3632,Department
3632,Organisation Name
3632,Basis for expenditure approval
3632,Project name
3632,Value (£M)
3632,Total Value requested (£M)
3632,Total Value Approved (£M)
3632,Basis for Exception
3632,Approval month
3632,Civil Service Grade (FTE)
3632,V11
3632,V12
3632,V13
3632,V14
3632,V15
3632,V16
3632,Civil Service Grade (Headcount)
3632,V18
3632,V19
3632,V20
3632,V21
3632,V22
3632,V23
3632,Total approvals (Headcount)
3632,Total Approvals (FTE)
3632,Date of Update
3633,Department
3633,Organisation Name
3633,Basis for expenditure approval
3633,Value (úM)
3633,Total Value requested (úM)
3633,Total Value Approved (úM)
3633,Basis for Exception
3633,Approval month
3633,Date of Update
3634,Department
3634,Organisation Name
3634,Basis for expenditure approval
3634,Value (úM)
3634,Total Value requested (úM)
3634,Total Value Approved (úM)
3634,Basis for Exception
3634,Approval month
3634,Date of Update
3635,Department
3635,Organisation Name
3635,Project name
3635,Basis for expenditure approval
3635,Value (£M)
3635,Total Value requested (£M)
3635,Total Value Approved (£M)
3635,Basis for Exception
3635,Approval month
3635,Date of Update
3636,Department
3636,Organisation Name
3636,Property Name
3636,Basis for expenditure approval
3636,Value (£M)
3636,Total Value requested (£M)
3636,Total Value Approved (£M)
3636,Basis for Exception
3636,Approval month
3636,Date of Update
3637,Department
3637,Organisation Name
3637,Basis for expenditure approval
3637,Project name
3637,Value (£M)
3637,Total Value requested (£M)
3637,Total Value Approved (£M)
3637,Basis for Exception
3637,Approval month
3637,Civil Service Grade (FTE)
3637,V11
3637,V12
3637,V13
3637,V14
3637,V15
3637,V16
3637,Civil Service Grade (Headcount)
3637,V18
3637,V19
3637,V20
3637,V21
3637,V22
3637,V23
3637,Total approvals (Headcount)
3637,Total Approvals (FTE)
3637,Date of Update
3638,Department
3638,Organisation Name
3638,Project name
3638,Value (£M)
3638,Total Value requested (£M)
3638,Total Value Approved (£M)
3638,Basis for Exception
3638,Approval month
3638,Date of Update
3639,Department
3639,Organisation Name
3639,Project name
3639,Basis for expenditure approval
3639,Total Value requested (£M)
3639,Total Value Approved (£M)
3639,Date of Update
3640,Department
3640,Organisation Name
3640,Project name
3640,Basis for expenditure approval
3640,Total Value requested (£M)
3640,Total Value Approved (£M)
3640,Date of approval
3641,Department
3641,Organisation Name
3641,Property
3641,Basis for Exception
3641, Value 
3641,Approval month
3642,Department/organisation name
3642,AA/AO
3642,EO
3642,HEO/SEO
3642,G7/G6
3642,SCS
3642,UNKNOWN/OTHER
3642,TOTAL (FTE)
3642,V9
3642,V10
3642,V11
3642,V12
3642,V13
3642,Total exemptions (Headcount)
3642,Total exemptions (FTE)
3642,Date of Update
3643,Department
3643,Organisation Name
3643,Basis for Exception
3643,New Approval / Reapproval
3643, Value 
3643,Approval month
3643,Type
3644,Department
3644,Organisation Name
3644,Project name
3644,Basis for expenditure approval
3644,Total Value requested (£M)
3644,Total Value Approved (£M)
3644,Date of approval
3645,Department
3645,Organisation Name
3645,Property Name
3645,Basis for expenditure approval
3645,Total Value requested (£M)
3645,Total Value Approved (£M)
3645,Date of approval
3646,Department
3646,Organisation Name
3646,Basis for expenditure approval
3646,Project name
3646,Total Value Approved (£M)
3646,Basis for Exception
3646,Approval month
3646,Civil Service Grade (FTE)
3646,V9
3646,V10
3646,V11
3646,V12
3646,V13
3646,V14
3646,Civil Service Grade (Headcount)
3646,V16
3646,V17
3646,V18
3646,V19
3646,V20
3646,V21
3646,Total approvals (Headcount)
3646,Total Approvals (FTE)
3646,Date of approval
3647,Department
3647,Organisation Name
3647,Project name
3647,Basis for expenditure approval
3647,Total Value requested (£M)
3647,Total Value Approved (£M)
3647,Date of approval
3648,Department
3648,Organisation Name
3648,Project name
3648,Basis for expenditure approval
3648,Total Value Approved (£M)
3648,Date of approval
3649,Dept Family
3649,Entity
3649,Payment Date
3649,Expense Type
3649,Expense Area
3649,Supplier
3649,Invoice Num
3649,Amount
3650,Dept Family
3650,Entity
3650,Payment Date
3650,Expense Type
3650,Expense Area
3650,Supplier
3650,Invoice Num
3650,Amount
3651,Post Unique Reference
3651,Name
3651,Grade (or equivalent)
3651,Job Title
3651,Job/Team Function
3651,Parent Department
3651,Organisation
3651,Unit
3651,Contact Phone
3651,Contact E-mail
3651,Reports to Senior Post
3651,Salary Cost of Reports (£)
3651,FTE
3651,Actual Pay Floor (£)
3651,Actual Pay Ceiling (£)
3651,V16
3651,Professional/Occupational Group
3651,Notes
3651,Valid?
3652,Parent Department
3652,Organisation
3652,Unit
3652,Reporting Senior Post
3652,Grade
3652,Payscale Minimum (£)
3652,Payscale Maximum (£)
3652,Generic Job Title
3652,Number of Posts in FTE
3652,Professional/Occupational Group
3653,Parent Department
3653,Organisation
3653,Unit
3653,Reporting Senior Post
3653,Grade
3653,Payscale Minimum (£)
3653,Payscale Maximum (£)
3653,Generic Job Title
3653,Number of Posts in FTE
3653,Professional/Occupational Group
3654,Post Unique Reference
3654,Name
3654,Grade (or equivalent)
3654,Job Title
3654,Job/Team Function
3654,Parent Department
3654,Organisation
3654,Unit
3654,Contact Phone
3654,Contact E-mail
3654,Reports to Senior Post
3654,Salary Cost of Reports (£)
3654,FTE
3654,Actual Pay Floor (£)
3654,Actual Pay Ceiling (£)
3654,V16
3654,Professional/Occupational Group
3654,Notes
3654,Valid?
3655,Parent Department
3655,Organisation
3655,Unit
3655,Reporting Senior Post
3655,Grade
3655,Payscale Minimum (£)
3655,Payscale Maximum (£)
3655,Generic Job Title
3655,Number of Posts in FTE
3655,Professional/Occupational Group
3656,Organisation Name
3656,Organisation Type
3656,"Main, parent or sponsoring department"
3656,Payroll staff AO/AA Headcount
3656,Payroll staff AO/AA Full-time Equivalent
3656,Payroll staff EO Headcount
3656,Payroll staff EO Full-time Equivalent
3656,Payroll staff SEO/HEO Headcount
3656,Payroll staff SEO/HEO Full-time Equivalent
3656,Payroll staff Grade 6/7 Headcount
3656,Payroll staff Grade 6/7 Full-time Equivalent
3656,Payroll staff SCS Headcount
3656,Payroll staff SCS Full-time Equivalent
3656,"Payroll staff Other, unknown or unspecified Headcount"
3656,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
3656,Payroll staff Total Employees Headcount
3656,Payroll staff Total Employees Full-time Equivalent
3656,Non-payroll Staff Agency staff (clerical/admin) Headcount
3656,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
3656,Non-payroll Staff Intermin Managers Headcount
3656,Non-payroll Staff Interim Managers Full-time Equivalent
3656,Non-payroll Staff Specialist Contractors Headcount
3656,Non-payroll Staff Specialist Contractors Full-time Equivalent
3656,Non-payroll Staff Consultants/Consultancy Headcount
3656,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
3656,Non-payroll Staff Total Employees Headcount
3656,Non-payroll Staff Total Employees Full-time Equivalent
3656,Grand Total (workforce numbers) Headcount
3656,Grand Total (workforce numbers) Full-time Equivalent
3656,Payroll Staff Costs Salary
3656,Payroll Staff Costs Allowances
3656,Payroll Staff Costs Non-consolidated performance payments
3656,Payroll Staff Costs Overtime
3656,Payroll Staff Costs Employer pension contributions
3656,Payroll Staff Costs Employer national insurance contributions
3656,Payroll Staff Costs Total paybill for payroll staff
3656,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
3656,Non-payroll Staff Total cost of consultants/consultancy
3656,Non-payroll Staff Total non-payroll (CCL) staff costs
3656,Grand Total paybill/staffing (payroll and non-payroll) costs
3656,Comments
3657,Organisation Name
3657,Organisation Type
3657,"Main, parent or sponsoring department"
3657,Payroll staff AO/AA Headcount
3657,Payroll staff AO/AA Full-time Equivalent
3657,Payroll staff EO Headcount
3657,Payroll staff EO Full-time Equivalent
3657,Payroll staff SEO/HEO Headcount
3657,Payroll staff SEO/HEO Full-time Equivalent
3657,Payroll staff Grade 6/7 Headcount
3657,Payroll staff Grade 6/7 Full-time Equivalent
3657,Payroll staff SCS Headcount
3657,Payroll staff SCS Full-time Equivalent
3657,"Payroll staff Other, unknown or unspecified Headcount"
3657,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
3657,Payroll staff Total Employees Headcount
3657,Payroll staff Total Employees Full-time Equivalent
3657,Non-payroll Staff Agency staff (clerical/admin) Headcount
3657,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
3657,Non-payroll Staff Intermin Managers Headcount
3657,Non-payroll Staff Interim Managers Full-time Equivalent
3657,Non-payroll Staff Specialist Contractors Headcount
3657,Non-payroll Staff Specialist Contractors Full-time Equivalent
3657,Non-payroll Staff Consultants/Consultancy Headcount
3657,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
3657,Non-payroll Staff Total Employees Headcount
3657,Non-payroll Staff Total Employees Full-time Equivalent
3657,Grand Total (workforce numbers) Headcount
3657,Grand Total (workforce numbers) Full-time Equivalent
3657,Payroll Staff Costs Salary
3657,Payroll Staff Costs Allowances
3657,Payroll Staff Costs Non-consolidated performance payments
3657,Payroll Staff Costs Overtime
3657,Payroll Staff Costs Employer pension contributions
3657,Payroll Staff Costs Employer national insurance contributions
3657,Payroll Staff Costs Total paybill for payroll staff
3657,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
3657,Non-payroll Staff Total cost of consultants/consultancy
3657,Non-payroll Staff Total non-payroll (CCL) staff costs
3657,Grand Total paybill/staffing (payroll and non-payroll) costs
3657,Comments
3658,Organisation Name
3658,Organisation Type
3658,"Main, parent or sponsoring department"
3658,Payroll staff AO/AA Headcount
3658,Payroll staff AO/AA Full-time Equivalent
3658,Payroll staff EO Headcount
3658,Payroll staff EO Full-time Equivalent
3658,Payroll staff SEO/HEO Headcount
3658,Payroll staff SEO/HEO Full-time Equivalent
3658,Payroll staff Grade 6/7 Headcount
3658,Payroll staff Grade 6/7 Full-time Equivalent
3658,Payroll staff SCS Headcount
3658,Payroll staff SCS Full-time Equivalent
3658,"Payroll staff Other, unknown or unspecified Headcount"
3658,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
3658,Payroll staff Total Employees Headcount
3658,Payroll staff Total Employees Full-time Equivalent
3658,Non-payroll Staff Agency staff (clerical/admin) Headcount
3658,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
3658,Non-payroll Staff Intermin Managers Headcount
3658,Non-payroll Staff Interim Managers Full-time Equivalent
3658,Non-payroll Staff Specialist Contractors Headcount
3658,Non-payroll Staff Specialist Contractors Full-time Equivalent
3658,Non-payroll Staff Consultants/Consultancy Headcount
3658,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
3658,Non-payroll Staff Total Employees Headcount
3658,Non-payroll Staff Total Employees Full-time Equivalent
3658,Grand Total (workforce numbers) Headcount
3658,Grand Total (workforce numbers) Full-time Equivalent
3658,Payroll Staff Costs Salary
3658,Payroll Staff Costs Allowances
3658,Payroll Staff Costs Non-consolidated performance payments
3658,Payroll Staff Costs Overtime
3658,Payroll Staff Costs Employer pension contributions
3658,Payroll Staff Costs Employer national insurance contributions
3658,Payroll Staff Costs Total paybill for payroll staff
3658,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
3658,Non-payroll Staff Total cost of consultants/consultancy
3658,Non-payroll Staff Total non-payroll (CCL) staff costs
3658,Grand Total paybill/staffing (payroll and non-payroll) costs
3658,Comments
3659,Parent Department
3659,Organisation
3659,Unit
3659,Reporting Senior Post
3659,Grade
3659,Payscale Minimum (£)
3659,Payscale Maximum (£)
3659,Generic Job Title
3659,Number of Posts in FTE
3659,Profession
3660,Post Unique Reference
3660,Name
3660,Grade
3660,Job Title
3660,Job/Team Function
3660,Parent Department
3660,Organisation
3660,Unit
3660,Contact Phone
3660,Contact E-mail
3660,Reports to Senior Post
3660,Salary Cost of Reports (£)
3660,FTE
3660,Actual Pay Floor (£)
3660,Actual Pay Ceiling (£)
3660,Total Pay (£)
3660,Profession
3660,Notes
3660,Valid?
3661,Post Unique Reference
3661,Name
3661,Grade
3661,Job Title
3661,Job/Team Function
3661,Parent Department
3661,Organisation
3661,Unit
3661,Contact Phone
3661,Contact E-mail
3661,Reports to Senior Post
3661,Salary Cost of Reports (£)
3661,FTE
3661,Actual Pay Floor (£)
3661,Actual Pay Ceiling (£)
3661,V16
3661,Professional/Occupational Group
3661,Notes
3661,Valid?
3662,Parent Department
3662,Organisation
3662,Unit
3662,Reporting Senior Post
3662,Grade
3662,Payscale Minimum (£)
3662,Payscale Maximum (£)
3662,Generic Job Title
3662,Number of Posts in FTE
3662,Professional/Occupational Group
3663,Minister
3663,Date of Hospitality
3663,Name of Organisation
3663,Type of hospitality received
3664,Minister
3664,Date of Trip
3664,Destination
3664,Purpose
3664,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'"
3664,Number of officials accompanying Ministers (where non-scheduled travel is used)
3664,Total Cost including travel and accommodation of Minister only
3665,Minister
3665,Date of Hospitality
3665,Name of Organisation
3665,Type of hospitality received
3666,Minister
3666,Date of Trip
3666,Destination
3666,Purpose
3666,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'"
3666,Number of officials accompanying Ministers (where non-scheduled travel is used)
3666,Total Cost including travel and accommodation of Minister only
3667,Minister
3667,Date of Hospitality
3667,Name of Organisation
3667,Type of hospitality received
3668,Minister
3668,Date received
3668,From
3668,Gift
3668,Value (£)
3668, Outcome
3669,Minister
3669,Date of Hospitality
3669,Name of Organisation
3669,Type of hospitality received
3670,Minister
3670,Date
3670,Name of Organisation
3670,Purpose of meeting
3671,Minister
3671,Date of Trip
3671,Destination
3671,Purpose
3671,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'
3671,Number of officials accompanying Ministers (where non-scheduled travel is used)
3671,Total Cost including travel and accommodation of Minister only
3672,Minister
3672,Date of Hospitality
3672,Name of Organisation
3672,Type of hospitality received
3673,Minister
3673,Date
3673,Name of Organisation
3673,Purpose of meeting
3674,Minister
3674,Date of Trip
3674,Destination
3674,Purpose
3674,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'"
3674,Number of officials accompanying Ministers (where non-scheduled travel is used)
3674,Total Cost including travel and accommodation of Minister only
3675,Minister
3675,Date of Hospitality
3675,Name of Organisation
3675,Type of hospitality received
3676,Minister
3676,Date of Trip
3676,Destination
3676,Purpose
3676,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'"
3676,Number of officials accompanying Ministers (where non-scheduled travel is used)
3676,Total Cost including travel and accommodation of Minister only
3677,Minister
3677,Date of Hospitality
3677,Name of Organisation
3677,Type of hospitality received
3678,Minister
3678,Date
3678,Name of Organisation
3678,Purpose of meeting
3679,Minister
3679,Date of Trip
3679,Destination
3679,Purpose
3679,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'"
3679,Number of officials accompanying Ministers (where non-scheduled travel is used)
3679,Total Cost including travel and accommodation of Minister only
3680,Minister
3680,Date received
3680,From
3680,Gift
3680,Value (£)
3680, Outcome
3681,Minister
3681,Date of Hospitality
3681,Name of Organisation
3681,Type of hospitality received
3682,Minister
3682,Date
3682,Name of Organisation
3682,Purpose of meeting
3683,Minister
3683,Date of Trip
3683,Destination
3683,Purpose
3683,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'
3683,Number of officials accompanying Ministers (where non-scheduled travel is used)
3683,Total Cost including travel and accommodation of Minister only
3684,Minister
3684,Date received
3684,From
3684,Gift
3684,Value (£)
3684, Outcome
3685,Minister
3685,Date of Hospitality
3685,Name of Organisation
3685,Type of hospitality received
3686,Minister
3686,Date
3686,Name of Organisation
3686,Purpose of meeting
3687,Minister
3687,Date of Trip
3687,Destination
3687,Purpose
3687,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'"
3687,Number of officials accompanying Ministers (where non-scheduled travel is used)
3687,Total Cost including travel and accommodation of Minister only
3688,Minister
3688,Date of Hospitality
3688,Name of Organisation
3688,Type of hospitality received
3689,Minister
3689,Date
3689,Name of Organisation
3689,Purpose of meeting
3690,Minister
3690,Date of Trip
3690,Destination
3690,Purpose
3690,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'"
3690,Number of officials accompanying Ministers (where non-scheduled travel is used)
3690,Total Cost including travel and accommodation of Minister only
3691,Minister
3691,Date of Hospitality
3691,Name of Organisation
3691,Type of hospitality received
3692,Minister
3692,Date
3692,Name of Organisation
3692,Purpose of meeting
3693,Minister
3693,Date of Trip
3693,Destination
3693,Purpose
3693,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'"
3693,Number of officials accompanying Ministers (where non-scheduled travel is used)
3693,Total Cost including travel and accommodation of Minister only
3694,Minister
3694,Date received
3694,From
3694,Gift
3694,Value (£)
3694, Outcome
3695,Minister
3695,Date
3695,Name of Organisation
3695,Purpose of meeting
3696,Minister
3696,Date of Trip
3696,Destination
3696,Purpose
3696,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'
3696,Number of officials accompanying Ministers (where non-scheduled travel is used)
3696,Total Cost including travel and accommodation of Minister only
3697,Minister
3697,Date received
3697,From
3697,Gift
3697,Value (£)
3697, Outcome
3698,Minister
3698,Date of Hospitality
3698,Name of Organisation
3698,Type of hospitality received
3699,Minister
3699,Date
3699,Name of Organisation
3699,Purpose of meeting
3700,Minister
3700,Date of Trip
3700,Destination
3700,Purpose
3700,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'"
3700,Number of officials accompanying Ministers (where non-scheduled travel is used)
3700,Total Cost including travel and accommodation of Minister only
3701,Minister
3701,Date of Hospitality
3701,Name of Organisation
3701,Type of hospitality received
3702,Minister
3702,Date of Trip
3702,Destination
3702,Purpose
3702,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'"
3702,Number of officials accompanying Ministers (where non-scheduled travel is used)
3702,Total Cost including travel and accommodation of Minister only
3703,Minister
3703,Date of Hospitality
3703,Name of Organisation
3703,Type of hospitality received
3704,Minister
3704,Date
3704,Name of Organisation
3704,Purpose of meeting
3705,Minister
3705,Date of Trip
3705,Destination
3705,Purpose
3705,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'"
3705,Number of officials accompanying Ministers (where non-scheduled travel is used)
3705,Total Cost including travel and accommodation of Minister only
3706,Minister
3706,Date received
3706,From
3706,Gift
3706,Value (£)
3706, Outcome
3707,Minister
3707,Date of Hospitality
3707,Name of Organisation
3707,Type of hospitality received
3708,Minister
3708,Date
3708,Name of Organisation
3708,Purpose of meeting
3709,Minister
